Fecha,Presentacion,Origen,Destino,Transporte,Volumen ton
2001-07-10,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1410.0
2001-07-12,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,9.0
2001-07-17,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1560.0
2001-07-19,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2001-07-24,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1500.0
2001-07-26,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,9.0
2001-07-31,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1575.0
2001-08-02,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,11.0
2001-08-07,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1110.0
2001-08-09,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2001-08-14,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1335.0
2001-08-16,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2001-08-21,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1545.0
2001-08-23,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,2.0
2001-08-23,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2001-08-28,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1575.0
2001-08-30,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2001-09-06,Caja de 20 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,1.0
2001-09-06,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2001-09-13,Caja de 20 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,6.0
2001-09-13,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1635.0
