producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-06,BODEGA AURRERA,BODEGA AURRERA SUCURSAL IZTAPALAPA,"CALZ. ERMITA IZTAPALAPA 875, ENTRE TLAHUAC Y DIAGONA",SANTA ISABEL INDUSTRIAL,9820,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-05-06,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LOS ANGELES,"CALZ. ERMITA IZTAPALAPA 2001, ESQ. MARGARITAS",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-05-06,CENTRAL DE ABASTOS,CENTRAL DE ABASTO IZTAPALAPA (IZTAPALAPA),"PROL. EJE 6 SUR 520, ESQ. CANAL DE APATLACO",EJIDOS DEL MORAL,9030,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-05-06,WAL-MART,WALMART SUCURSAL PLAZA ORIENTE,"CANAL DE TEZONTLE 1520, ESQ EJE 5 OTE. ROJO GOMEZ",U.H. CUCHILLA DEL MORAL II,9319,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.0,2026-05-06,MERCADO PUBLICO,MERCADO LA PURISIMA,"LUIS HIDALGO MONROY 423, ESQ. QUETZAL",LEYES DE REFORMA 1A. SECCIÓN,9340,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.6,2026-05-06,MERCADO SORIANA,MERCADO SORIANA SUCURSAL SAN LORENZO XALPA (986),"AV. SAN LORENZO 2171, ENTRE NAUTLA Y ESTRELLA",SAN JUAN XALPA,9850,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.5,2026-05-06,MEGA SORIANA,MEGA SORIANA SUCURSAL LA VIGA,"CALZ. DE LA VIGA 1381, ENTRE EJE 6 Y PORTO ALEGRE",EL RETOÑO,9440,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-06,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL IZTAPALAPA (262),"ERMITA IZTAPALAPA 1863, ESQ. SAN LORENZO",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-06,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL TACUBAYA (257),"GOBERNADOR GENERAL JOSE MORAN 3, ENTRE GOBERNADOR VICEN",SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-05-06,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL COAPA (TEC),"CALLE PUENTE 186, ESQ. PROLONGACIÓN",AMSA,14380,Tlalpan,Ciudad de México
