producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-06-02,WAL-MART,WALMART SUCURSAL VILLA COAPA,"ACOXPA 744, ESQ. MIRAMONTES",SAN BARTOLO COAPA,14390,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-06-03,CENTRAL DE ABASTOS,CENTRAL DE ABASTO IZTAPALAPA (IZTAPALAPA),"PROL. EJE 6 SUR 520, ESQ. CANAL DE APATLACO",EJIDOS DEL MORAL,9030,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-06-03,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LOS ANGELES,"CALZ. ERMITA IZTAPALAPA 2001, ESQ. MARGARITAS",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,80.0,2026-06-03,MERCADO PUBLICO,MERCADO LA PURISIMA,"LUIS HIDALGO MONROY 423, ESQ. QUETZAL",LEYES DE REFORMA 1A. SECCIÓN,9340,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,48.9,2026-06-03,MERCADO SORIANA,MERCADO SORIANA SUCURSAL SAN LORENZO XALPA (986),"AV. SAN LORENZO 2171, ENTRE NAUTLA Y ESTRELLA",SAN JUAN XALPA,9850,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-03,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL LA VIGA (251),CALZ. DE LA VIGA 1801,UNIDAD MODELO,9080,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,49.0,2026-06-03,BODEGA AURRERA,BODEGA AURRERA SUCURSAL IZTAPALAPA,"CALZ. ERMITA IZTAPALAPA 875, ENTRE TLAHUAC Y DIAGONA",SANTA ISABEL INDUSTRIAL,9820,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-03,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL TAXQUEÑA,"CALZ. TAXQUEÑA 1752, ENTRE PASEO DE LOS JARDINES Y HERO",TAXQUEÑA,4280,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.4,2026-06-03,MEGA SORIANA,MEGA SORIANA SUCURSAL LA VIGA,"CALZ. DE LA VIGA 1381, ENTRE EJE 6 Y PORTO ALEGRE",EL RETOÑO,9440,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-03,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,"AV. RIO CHURUBUSCO 583, ESQ. LA VIGA",SECTOR POPULAR,9060,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-03,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL IZTAPALAPA (262),"ERMITA IZTAPALAPA 1863, ESQ. SAN LORENZO",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-03,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIXCOAC (250),"MIGUEL ANGEL BUONARROTI 170, ESQ. SAN ANTONIO",MIXCOAC,3910,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,89.9,2026-06-04,LA COMER,LACOMER SUCURSAL SANTA MARIA LA RIBERA,"NOGAL 212, ESQ. CARPIO",SANTA MARIA LA RIBERA,6400,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,62.0,2026-06-04,WAL-MART,WALMART SUCURSAL CUITLAHUAC,"CUITLAHUAC 3651, ENTRE TORONJIL Y FERROCARRIL C.",HOGAR Y SEGURIDAD,2820,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,80.0,2026-06-04,MERCADO PUBLICO,MERCADO VICTORIA DE LAS DEMOCRACIAS,"PIMIENTA S/N, ESQ. TORONJIL",IGNACIO ALLENDE,2810,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-04,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CUITLAHUAC (253),"CUITLAHUAC 372, ENTRE PANTACO Y RABAI",JARDÍN AZPETIA,2530,Azcapotzalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,64.32,2026-06-04,U.N.A.M.,U.N.A.M. SUCURSAL 02 CD UNIVERSITARIA,DALIAS S/N CERCA METRO UNIVERSIDAD,COPILCO EL ALTO,4360,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,89.9,2026-06-04,LA COMER,LACOMER SUCURSAL MIGUEL ANGEL DE QUEVEDO,"MIGUEL ANGEL DE QUEVEDO 443, ENTRE MELCHOR OCAMPO Y PSI",ROMERO DE TERREROS,4310,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,62.0,2026-06-04,WAL-MART,WAL MART SUCURSAL MIRAMONTES,"ESCUELA NAVAL MILITAR 753, ESQ. CANAL DE MIRAMONTES",LOS CIPRESES,4830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,64.0,2026-06-04,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL GIRASOLES,"RANCHO SAN LORENZO 6, ESQ. CALZADA DE LAS BOMBAS (INT.",GIRASOLES III,4920,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,64.9,2026-06-04,CHEDRAUI,CHEDRAUI SUCURSAL PLAZA AMERICA,"BENITO JUAREZ 117, ENTRE DIVISION DEL NORTE Y EUCALIPTO",EXHACIENDA DE COAPA,4850,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,49.0,2026-06-04,BODEGA AURRERA,BODEGA AURRERA SUCURSAL CANTIL,"AZTECAS 221, ENTRE EJE 10 Y REY MOCTEZUMA",LOS REYES,4330,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-04,HIPERMERCADO SORIANA,SORIANA SUCURSAL CANTIL (419),"AZTECAS 270, ESQ. REY MOCTEZUMA",LOS REYES,4330,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-06-04,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL SENA,"RIO BALSAS 23, ENTRE RIO SENA Y RIO TIGRIS",CUAUHTEMOC,6500,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,49.0,2026-06-04,BODEGA AURRERA EXPRESS,BODEGA AURRERA EXPRESS SUCURSAL LOS GALLOS,"FLORES MAGON 523, ESQ. CIRCUITO INTERIOR",SANTA MARIA LA RIBERA,6400,Cuauhtémoc,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-04,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL COAPA (TEC),"CALLE PUENTE 186, ESQ. PROLONGACIÓN",AMSA,14380,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.9,2026-06-04,MEGA SORIANA,MEGA SORIANA SUCURSAL COAPA,"PROLONGACION DIVISION DEL NORTE1555, ENTRE ESCUELA Y EJ",CHIMAL,14700,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,62.0,2026-06-04,WAL-MART,WALMART SUCURSAL NEXTENGO,"NEXTENGO 78, ENTRE FERROCARRILES NACIONALES Y SANTA CRU",SANTA CRUZ ACAYUCAN,2770,Azcapotzalco,Ciudad de México
