producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL BOCA DEL RIO,"CALZ. JUAN PABLO II NO. 1350, CIENCIAS EXACTAS Y MEDICO",FRACCIONAMIENTO SUTSEM,94299,Boca del Río,Veracruz
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL BOCA DEL RIO,"CALZ. JUAN PABLO II NO. 1350, CIENCIAS EXACTAS Y MEDICO",FRACCIONAMIENTO SUTSEM,94299,Boca del Río,Veracruz
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA SUCURSAL MIRAMONTES (300),"CANAL DE MIRAMONTES 2600, ENTRE CALZ. DE LA VIRGEN Y ES",EXHACIENDA COAPA,04830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA SUCURSAL MIRAMONTES (300),"CANAL DE MIRAMONTES 2600, ENTRE CALZ. DE LA VIRGEN Y ES",EXHACIENDA COAPA,04830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.9,2026-04-29,SORIANA SUPER,SORIANA SUPER SUCURSAL DEL BOSQUE,"NIÑOS HEROES 2546, ENTRE INGLATERRA Y LA CAUDA",JARDINES DEL BOSQUE,44520,Guadalajara,Jalisco
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.9,2026-04-29,SORIANA SUPER,SORIANA SUPER SUCURSAL DEL BOSQUE,"NIÑOS HEROES 2546, ENTRE INGLATERRA Y LA CAUDA",JARDINES DEL BOSQUE,44520,Guadalajara,Jalisco
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL RENTERÍA,"BLVD. FRANCISCO VILLA 1402, ENTRE FRAY DANIEL MIRELES Y",VILLA DE LAS FLORES,37280,León,Guanajuato
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL RENTERÍA,"BLVD. FRANCISCO VILLA 1402, ENTRE FRAY DANIEL MIRELES Y",VILLA DE LAS FLORES,37280,León,Guanajuato
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.0,2026-04-29,MERCADO PUBLICO,MERCADO LA PURISIMA,"LUIS HIDALGO MONROY 423, ESQ. QUETZAL",LEYES DE REFORMA 1A. SECCIÓN,09340,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.0,2026-04-29,MERCADO PUBLICO,MERCADO LA PURISIMA,"LUIS HIDALGO MONROY 423, ESQ. QUETZAL",LEYES DE REFORMA 1A. SECCIÓN,09340,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL COACALCO,"LOPEZ PORTILLO 101, ESQ. BLVD. COACALCO",ZACUAUTITLAN,55700,Coacalco,Estado de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL COACALCO,"LOPEZ PORTILLO 101, ESQ. BLVD. COACALCO",ZACUAUTITLAN,55700,Coacalco,Estado de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL SANTA MARIA COACALCO,"JOSE LOPEZ PORTILLO 2, DENTRO DE LA PLAZA COMERCIAL",SAN FRANCISCO COACALCO,55712,Coacalco,Estado de México
